Project Number,Project Name,Project Status,Project Type,Reporting Region,City,NOA,GEA,GIA,Project Start Date,Construction Start Date,RPDC Date,Estimate at Completion (EAC),Currency Rate,Ownership,General (GNL),Site (STE),Base/Building Core & Shell BSB,MEP,Interiors,FF&E,Legacy,EAC Buckets,Range
GUC-2023-AUS-01,AUS30 — Core & Shell,Complete,Ground-Up Construction,NA,Austin,134360,226580,184270,2022-09-02,2023-03-15,2025-03-04,99335261,1.00,Owned,11151369,11434961,32660820,23582079,13237880,5782877,2294324,XL,$20M+
GUC-2024-AUS-01,AUS31 — Ground-Up,Complete,Ground-Up Construction,NA,Austin,180280,303980,246650,2023-11-06,2024-05-20,2026-06-09,134292295,1.00,Owned,13193478,17915404,50439863,29672720,15103272,6920691,2247713,XL,$20M+
GUC-2023-DUB-01,DUB42 — Ground-Up,Complete,Ground-Up Construction,EMEA,Dublin,86970,138150,116150,2023-03-23,2023-09-04,2025-07-25,52850831,1.08,Owned,4656467,6659108,16006199,12194862,9008081,3140669,1025881,XL,$20M+
GUC-2023-HYD-01,HYD14 — New Build,Complete,Ground-Up Construction,APAC,Hyderabad,203740,343710,282170,2022-12-22,2023-06-26,2025-06-15,7057947917,0.012,Owned,635536167,876022083,2627381250,1496110500,870088500,454769667,133011667,XL,$20M+
GUC-2024-HYD-01,HYD15 — Core & Shell,Complete,Ground-Up Construction,APAC,Hyderabad,234350,395300,323760,2024-04-09,2024-10-14,2026-11-03,8182595667,0.012,Owned,761225333,979161917,2907594917,1897548000,1006023250,547335333,130776500,XL,$20M+
GUC-2024-MEX-01,MEX24 — New Build,Complete,Ground-Up Construction,LATAM,Mexico City,105820,178420,144430,2024-01-27,2024-08-12,2026-09-01,848925707,0.058,Owned,85511845,108799586,302215345,203493707,94366500,45352534,17454241,XL,$20M+
GUC-2024-SAO-01,SAO45 — Ground-Up,Complete,Ground-Up Construction,LATAM,São Paulo,130140,219570,180680,2023-07-15,2024-01-15,2025-12-05,360867810,0.20,Owned,35650355,52522465,113275935,78832350,50551005,25383575,6152460,XL,$20M+
LAB-2024-BLD-01,BLD45 — Lab Buildout,Complete,Lab / R&D,NA,Boulder,8520,13680,11670,2024-03-11,2024-08-26,2025-08-21,5562595,1.00,Owned,681658,278345,806447,2142006,768932,637447,235762,Medium,$5–10M
LAB-2023-CMB-01,CMB43 — Lab Fit-Out,Complete,Lab / R&D,NA,Cambridge,11290,18120,15490,2023-02-15,2023-07-31,2024-09-23,8758373,1.00,Leased,1138819,502108,1032935,3336335,1335423,1061038,325839,Large,$5–10M
LAB-2024-CMB-01,CMB42 — Lab Buildout,Complete,Lab / R&D,NA,Cambridge,14200,22800,19440,2023-10-23,2024-04-08,2025-06-02,11119471,1.00,Owned,1362616,556403,1612065,4281810,1537073,1274238,471281,Large,$10–20M
LAB-2024-HYD-01,HYD12 — R&D Buildout,Complete,Lab / R&D,APAC,Hyderabad,26410,44980,36680,2023-08-13,2024-01-15,2025-02-08,935836417,0.012,Owned,148448917,43773000,96300750,364072000,125398917,111786583,39499667,Large,$10–20M
LAB-2023-MTV-01,MTV41 — Lab Buildout,Complete,Lab / R&D,NA,Mountain View,12910,22000,18280,2023-03-05,2023-09-11,2024-12-04,12658368,1.00,Owned,1960309,698268,1736687,4670384,1913507,1181126,580997,Large,$10–20M
LAB-2024-MTV-01,MTV42 — R&D Buildout,Complete,Lab / R&D,NA,Mountain View,17320,29520,24470,2023-11-24,2024-06-03,2025-08-27,17117660,1.00,Owned,2650918,875689,2150164,6804941,2496725,1617176,647813,Large,$10–20M
LAB-2023-SJC-01,SJC17 — R&D Buildout,Complete,Lab / R&D,NA,San Jose,20340,34670,28670,2023-05-03,2023-11-13,2025-02-05,19560832,1.00,Owned,3041150,965939,2344911,7200565,3151756,2193187,823906,Large,$10–20M
LAB-2024-SVL-01,SVL44 — Lab Fit-Out,Complete,Lab / R&D,NA,Sunnyvale,15680,26730,22260,2023-08-08,2024-02-12,2025-05-07,15042231,1.00,Owned,1965816,752567,1892945,6364024,1988259,1682689,482460,Large,$10–20M
LAB-2024-SAO-01,SAO43 — Lab Fit-Out,Complete,Lab / R&D,LATAM,São Paulo,11180,19040,15600,2023-10-03,2024-04-22,2025-08-15,31509920,0.20,Owned,4402050,1503350,3442585,13457420,3984875,3270595,1178030,Medium,$5–10M
LAB-2024-TYO-01,TYO43 — Lab Buildout,Complete,Lab / R&D,APAC,Tokyo,13400,22830,18710,2023-10-31,2024-05-20,2025-09-12,1995207273,0.0066,Owned,298650455,98483182,224313788,737198333,340312727,192532727,86426212,Large,$10–20M
MEP-2024-CMB-01,CMB44 — Central Plant Upgrade,Complete,MEP Upgrade,NA,Cambridge,20620,28230,25150,2024-02-18,2024-07-22,2024-12-19,4746111,1.00,Owned,965040,132795,202881,2761227,338155,113043,199718,Medium,$2–5M
MEP-2024-CHI-01,CHI15 — MEP Upgrade,Complete,MEP Upgrade,NA,Chicago,28350,38800,34410,2023-09-20,2024-02-26,2024-07-25,5613582,1.00,Leased,1056866,179034,488764,3425002,345138,88401,0,Medium,$5–10M
MEP-2024-LON-01,LON19 — MEP Upgrade,Complete,MEP Upgrade,EMEA,London,22050,30190,27030,2023-11-21,2024-06-10,2025-02-05,3937655,1.27,Leased,769142,118362,360335,2215002,363560,77131,0,Medium,$5–10M
MEP-2024-MTV-01,MTV43 — Mechanical Upgrade,Complete,MEP Upgrade,NA,Mountain View,29380,37920,34840,2023-09-20,2024-03-18,2024-09-14,6195274,1.00,Owned,1109459,178690,332907,3758793,470236,124901,235765,Medium,$5–10M
MEP-2024-NYC-01,NYC45 — Central Plant Upgrade,Complete,MEP Upgrade,NA,New York,23900,32710,29220,2023-10-22,2024-05-13,2025-01-08,6119544,1.00,Leased,1169973,167216,259302,3599957,536652,118490,219803,Medium,$5–10M
MEP-2023-SEA-01,SEA16 — Central Plant Upgrade,Complete,MEP Upgrade,NA,Seattle,24250,31290,29160,2023-06-12,2023-11-27,2024-05-25,4171175,1.00,Owned,614624,112798,227805,2585816,364735,77308,178822,Medium,$2–5M
MEP-2024-SIN-01,SIN13 — Central Plant Upgrade,Complete,MEP Upgrade,APAC,Singapore,27310,37390,33400,2024-01-28,2024-08-19,2025-04-16,7536573,0.74,Owned,1440891,205936,319346,4433555,660918,145927,270700,Medium,$5–10M
MEP-2023-SVL-01,SVL45 — Mechanical Upgrade,Complete,MEP Upgrade,NA,Sunnyvale,34590,44640,41310,2023-03-15,2023-09-04,2024-03-02,7008497,1.00,Owned,1103401,223297,298921,4452919,522725,120788,287188,Medium,$5–10M
OFC-2024-ATL-01,1105 West — L8 Fit-Out,Complete,Office Fit-Out,NA,Atlanta,19860,28430,25160,2023-09-14,2024-02-26,2024-11-22,3553145,1.00,Leased,356412,141582,240222,989980,1149149,534202,130870,Medium,$2–5M
OFC-2025-ATL-01,Midtown Union — Workplace Fit-Out,Complete,Office Fit-Out,NA,Atlanta,24600,35230,31100,2024-08-05,2025-01-20,2025-10-17,4443071,1.00,Owned,431965,158552,384249,1272138,1345785,651994,188517,Medium,$2–5M
OFC-2023-AUS-01,Saltillo — Fit-Out,Complete,Office Fit-Out,NA,Austin,14380,20590,17920,2023-03-22,2023-09-18,2024-06-14,2850702,1.00,Leased,299723,100393,224247,879485,759457,469284,125420,Small,$2–5M
OFC-2024-AUS-01,Block 185 — L3 Fit-Out,Complete,Office Fit-Out,NA,Austin,26500,40300,34990,2024-06-17,2024-12-16,2025-10-12,5626036,1.00,Owned,659750,203816,451696,1444309,1614586,1038523,232261,Medium,$5–10M
OFC-2025-AUS-01,The Domain — Workplace Fit-Out,Complete,Office Fit-Out,NA,Austin,21340,32450,28110,2024-12-21,2025-06-23,2026-03-20,4567882,1.00,Leased,532694,218000,331880,1249317,1258904,842858,153219,Medium,$2–5M
OFC-2023-BLD-01,Pearl East — L3 Fit-Out,Complete,Office Fit-Out,NA,Boulder,9150,13910,12050,2022-12-24,2023-06-26,2024-04-21,2155781,1.00,Owned,261017,77304,169739,525350,694870,336307,100296,Small,$2–5M
OFC-2024-BUE-01,Puerto Madero — Fit-Out,Complete,Office Fit-Out,LATAM,Buenos Aires,14710,22340,18860,2024-04-21,2024-09-23,2025-05-21,2053333636,0.0011,Leased,277848182,76467273,140189091,556496364,511137273,390559091,86251818,Small,$2–5M
OFC-2024-CMB-01,Kendall — Workplace Fit-Out,Complete,Office Fit-Out,NA,Cambridge,18410,28000,24190,2023-07-28,2024-01-30,2024-11-25,5247813,1.00,Leased,631518,249489,372699,1369712,1627003,821401,202333,Medium,$5–10M
OFC-2024-CMB-02,325 Main — TI Buildout,Complete,Office Fit-Out,NA,Cambridge,29350,44620,38460,2024-03-12,2024-09-16,2025-07-13,8430401,1.00,Owned,980181,362012,759912,2274594,2443601,1286537,372604,Large,$5–10M
OFC-2023-CHI-01,Fulton Market — TI Buildout,Complete,Office Fit-Out,NA,Chicago,29350,44620,38460,2023-04-25,2023-10-30,2024-08-25,7153067,1.00,Leased,831668,307162,644774,1929959,2073358,1091607,316149,Medium,$5–10M
OFC-2024-CHI-01,The Loop — Fit-Out,Complete,Office Fit-Out,NA,Chicago,18660,28360,24390,2024-01-07,2024-07-15,2025-05-11,4582952,1.00,Leased,537573,185108,384406,1326678,1296668,711793,171040,Medium,$2–5M
OFC-2024-DAL-01,Victory Park — L3 Fit-Out,Complete,Office Fit-Out,NA,Dallas,22870,34780,30120,2023-11-04,2024-05-06,2025-03-02,4702742,1.00,Leased,569397,168636,370278,1146028,1515829,733639,218792,Medium,$2–5M
OFC-2024-DUB-01,Boland — TI Buildout,Complete,Office Fit-Out,EMEA,Dublin,15440,23450,19840,2023-07-02,2024-01-22,2024-12-17,3500073,1.08,Owned,477347,141626,265275,890192,909181,666563,122576,Medium,$2–5M
OFC-2024-DUB-02,Grand Canal — Fit-Out,Complete,Office Fit-Out,EMEA,Dublin,21250,32280,27250,2024-03-10,2024-08-12,2025-04-09,4853055,1.08,Leased,656694,180730,331338,1315279,1208072,923085,203856,Medium,$5–10M
OFC-2024-HYD-01,Kokapet — L10 Fit-Out,Complete,Office Fit-Out,APAC,Hyderabad,27430,39280,34430,2023-09-12,2024-03-04,2024-11-29,256187500,0.012,Owned,27639083,11555667,18785500,68110833,77680000,42534333,9925833,Medium,$2–5M
OFC-2025-HYD-01,Gachibowli — Workplace Fit-Out,Complete,Office Fit-Out,APAC,Hyderabad,35500,50830,44450,2024-08-04,2025-01-27,2025-10-24,334419250,0.012,Owned,35927417,13993500,22066083,94344583,97555500,55620667,15235333,Medium,$2–5M
OFC-2023-LON-01,King's Cross S1 — Fit-Out,Complete,Office Fit-Out,EMEA,London,17580,25170,21910,2023-05-24,2023-11-20,2024-08-16,3622650,1.27,Leased,380886,127578,284972,1117643,965112,596362,159383,Medium,$2–5M
OFC-2024-LON-01,King's Cross S2 — L3 Fit-Out,Complete,Office Fit-Out,EMEA,London,13630,20730,18000,2024-03-25,2024-09-23,2025-07-20,3008162,1.27,Leased,352759,108977,241516,772252,863296,555283,124187,Medium,$2–5M
OFC-2025-LON-01,Pancras Square — Workplace Fit-Out,Complete,Office Fit-Out,EMEA,London,22860,34760,30110,2024-12-28,2025-06-30,2026-05-26,5085516,1.27,Owned,593059,242704,369489,1390891,1401564,938371,170582,Medium,$5–10M
OFC-2024-MEX-01,Reforma — Workplace Fit-Out,Complete,Office Fit-Out,LATAM,Mexico City,16760,25490,22080,2023-12-16,2024-06-17,2025-04-13,38354552,0.058,Leased,4472810,1830448,2786655,10489983,10570483,7077121,1286517,Small,$2–5M
OFC-2025-MEX-01,Polanco — TI Buildout,Complete,Office Fit-Out,LATAM,Mexico City,24550,37320,32250,2024-10-03,2025-04-07,2026-02-01,56610224,0.058,Owned,6384328,2444483,5175207,15940155,14567552,10152052,2226966,Medium,$2–5M
OFC-2023-MTV-02,Crittenden — TI Buildout,Complete,Office Fit-Out,NA,Mountain View,17970,27280,22930,2022-10-12,2023-03-20,2023-11-15,6015117,1.00,Leased,796129,261453,472170,1442346,1750500,994574,265004,Medium,$5–10M
OFC-2023-MTV-01,Bay View — Workplace Fit-Out,Complete,Office Fit-Out,NA,Mountain View,13760,20890,17600,2023-03-03,2023-08-07,2024-03-04,4574176,1.00,Owned,561662,136854,361785,1358829,1273158,695468,157725,Medium,$2–5M
OFC-2024-MTV-01,Charleston East — TI Buildout,Complete,Office Fit-Out,NA,Mountain View,20970,31840,26760,2023-09-06,2024-02-12,2024-10-09,7019822,1.00,Leased,929106,305124,551037,1683261,2042886,1160698,309268,Medium,$5–10M
OFC-2024-MTV-02,Shoreline — Fit-Out,Complete,Office Fit-Out,NA,Mountain View,31650,48060,40300,2024-07-01,2024-12-09,2025-09-05,10669588,1.00,Leased,1421962,436980,772551,2766239,3032260,1791699,397979,Large,$10–20M
OFC-2025-MTV-01,Landings — Fit-Out,Complete,Office Fit-Out,NA,Mountain View,10550,16020,13430,2024-11-05,2025-04-15,2025-10-12,3555647,1.00,Owned,473870,145624,257453,921851,1010502,597085,132627,Medium,$2–5M
OFC-2024-MUC-01,Arnulfpost — L10 Fit-Out,Complete,Office Fit-Out,EMEA,Munich,15680,22450,19680,2023-10-24,2024-04-15,2025-01-10,3310225,1.08,Leased,357127,149312,242729,880067,1003711,549590,128253,Medium,$2–5M
OFC-2025-MUC-01,Erika-Mann — Workplace Fit-Out,Complete,Office Fit-Out,EMEA,Munich,22090,31630,27660,2024-08-25,2025-02-17,2025-11-14,4704172,1.08,Owned,505380,196842,310397,1327116,1372282,782398,214310,Medium,$5–10M
OFC-2023-NYC-02,Hudson Square — Workplace Fit-Out,Complete,Office Fit-Out,NA,New York,13720,20860,18070,2022-08-13,2023-02-13,2023-12-10,4345842,1.00,Leased,506801,207403,315748,1188589,1197710,801888,145771,Medium,$2–5M
OFC-2023-NYC-01,Pier 57 — L3 Fit-Out,Complete,Office Fit-Out,NA,New York,24230,36840,31990,2023-05-08,2023-11-06,2024-10-01,7612626,1.00,Leased,892712,275784,611193,1954304,2184706,1405232,314274,Medium,$5–10M
OFC-2024-NYC-01,Chelsea Market — Workplace Fit-Out,Complete,Office Fit-Out,NA,New York,19820,30130,26100,2024-04-20,2024-10-21,2025-08-17,6277060,1.00,Leased,732014,299570,456061,1716778,1729952,1158233,210549,Medium,$5–10M
OFC-2025-NYC-01,111 Eighth — TI Buildout,Complete,Office Fit-Out,NA,New York,30680,46650,40310,2024-09-19,2025-03-24,2026-02-17,9796614,1.00,Owned,1104831,423027,895589,2758503,2520971,1756850,385385,Large,$5–10M
OFC-2024-PAR-01,Quai 39 — TI Buildout,Complete,Office Fit-Out,EMEA,Paris,18570,26590,23420,2024-01-06,2024-06-24,2025-03-21,4112903,1.08,Leased,404442,136647,330523,1256504,1217540,614569,146821,Medium,$2–5M
OFC-2023-SFO-01,The Hills — TI Buildout,Complete,Office Fit-Out,NA,San Francisco,35720,51160,44630,2023-01-20,2023-07-17,2024-06-11,10113660,1.00,Leased,1067171,386095,868372,2969485,2799380,1661661,379350,Large,$10–20M
OFC-2024-SFO-01,Spear Tower — Fit-Out,Complete,Office Fit-Out,NA,San Francisco,24770,35470,30870,2023-10-11,2024-04-08,2025-01-03,7071523,1.00,Leased,743500,249037,556273,2181672,1883927,1164117,311119,Medium,$5–10M
OFC-2025-SFO-01,One Market — L3 Fit-Out,Complete,Office Fit-Out,NA,San Francisco,16660,25340,22000,2024-07-15,2025-01-13,2025-10-10,5093821,1.00,Owned,597338,184535,408967,1307679,1461848,940280,210289,Medium,$5–10M
OFC-2023-SJC-01,Downtown West — TI Buildout,Complete,Office Fit-Out,NA,San Jose,39210,59550,49920,2023-04-17,2023-09-25,2024-05-22,9826699,1.00,Owned,1508936,479232,853938,2521297,2496131,1535380,386444,Large,$5–10M
OFC-2024-SJC-01,Autumn Parkway — Fit-Out,Complete,Office Fit-Out,NA,San Jose,21250,32270,26990,2024-03-09,2024-08-19,2025-05-16,5376199,1.00,Leased,736813,218767,381027,1329603,1703540,759636,226296,Medium,$5–10M
OFC-2025-SJC-01,SJC15 — L8 Fit-Out,Complete,Office Fit-Out,NA,San Jose,12230,17500,15490,2024-11-28,2025-05-12,2025-12-08,3121786,1.00,Leased,313143,124394,211059,869794,1009640,469348,114982,Medium,$2–5M
OFC-2023-SEA-01,Fremont — Fit-Out,Complete,Office Fit-Out,NA,Seattle,17530,26640,22700,2023-02-11,2023-08-28,2024-07-23,4835711,1.00,Leased,603117,219921,432788,1340587,1272764,824512,189433,Medium,$2–5M
OFC-2024-SEA-01,South Lake Union — L6 Fit-Out,Complete,Office Fit-Out,NA,Seattle,24070,36570,31080,2024-04-25,2024-11-11,2025-10-07,6685733,1.00,Owned,823816,281239,545521,1945462,1680521,1134490,211848,Medium,$5–10M
OFC-2025-SEA-01,Westlake — Workplace Fit-Out,Complete,Office Fit-Out,NA,Seattle,12920,19620,16640,2024-10-29,2025-05-19,2026-03-15,3614215,1.00,Leased,442684,141103,269265,1105212,872704,613950,138211,Medium,$2–5M
OFC-2024-SIN-01,Pasir Panjang — Workplace Fit-Out,Complete,Office Fit-Out,APAC,Singapore,19050,28970,25090,2023-11-11,2024-05-13,2025-03-09,6501372,0.74,Leased,758173,310276,472358,1778127,1791773,1199623,218073,Medium,$2–5M
OFC-2025-SIN-01,Mapletree — TI Buildout,Complete,Office Fit-Out,APAC,Singapore,24550,37320,32250,2024-09-26,2025-03-31,2026-01-25,8444646,0.74,Owned,952361,364647,771995,2377820,2173068,1514399,332200,Medium,$5–10M
OFC-2023-SVL-02,Mathilda — L7 Fit-Out,Complete,Office Fit-Out,NA,Sunnyvale,39210,59570,50290,2022-08-14,2023-01-16,2023-09-13,12765676,1.00,Owned,1555665,411443,1083521,3559822,3634854,1908676,521431,Large,$10–20M
OFC-2023-SVL-01,Moffett Place — Fit-Out,Complete,Office Fit-Out,NA,Sunnyvale,29220,44400,37570,2023-04-23,2023-11-13,2024-10-08,9446849,1.00,Owned,1189881,340123,632915,2562848,2865362,1446075,335315,Large,$5–10M
OFC-2024-SVL-01,Java — L7 Fit-Out,Complete,Office Fit-Out,NA,Sunnyvale,17970,27300,23050,2024-01-07,2024-06-10,2025-02-05,5851040,1.00,Leased,713026,188581,496623,1631614,1666005,874826,238993,Medium,$5–10M
OFC-2025-SVL-01,SVL41 — Workplace Fit-Out,Complete,Office Fit-Out,NA,Sunnyvale,14130,21460,18080,2024-09-18,2025-02-22,2025-08-21,4632744,1.00,Leased,568853,138606,366417,1376228,1289459,704373,159744,Medium,$2–5M
OFC-2024-SYD-01,Darling Quarter — Fit-Out,Complete,Office Fit-Out,APAC,Sydney,15830,24060,20550,2024-02-12,2024-08-26,2025-06-22,6562636,0.66,Leased,841368,317359,630711,2006958,1605264,980762,238900,Medium,$2–5M
OFC-2024-SAO-01,Faria Lima — TI Buildout,Complete,Office Fit-Out,LATAM,São Paulo,21660,31020,27320,2023-09-23,2024-03-11,2024-12-06,16038365,0.20,Leased,1577130,532860,1288885,4899765,4747830,2396525,572530,Medium,$2–5M
OFC-2025-SAO-01,Vila Olímpia — Fit-Out,Complete,Office Fit-Out,LATAM,São Paulo,29590,42370,37230,2024-08-01,2025-01-20,2025-11-16,22104440,0.20,Owned,2359985,1056410,1763660,5421535,6864775,3609350,1014875,Medium,$2–5M
OFC-2024-TYO-01,Shibuya Stream — Fit-Out,Complete,Office Fit-Out,APAC,Tokyo,17010,24360,21460,2024-02-04,2024-07-22,2025-04-18,665026212,0.0066,Leased,74058939,23992121,58280000,184921364,198214697,95288485,29280455,Medium,$2–5M
OFC-2025-TYO-01,Roppongi — L9 Fit-Out,Complete,Office Fit-Out,APAC,Tokyo,21800,31210,27430,2024-10-25,2025-04-14,2026-01-09,859698939,0.0066,Owned,95249091,41348182,68334697,253711061,245764242,123858788,30838182,Medium,$5–10M
OFC-2024-TOR-01,Waterside — L7 Fit-Out,Complete,Office Fit-Out,NA,Toronto,17970,27300,23050,2023-10-08,2024-03-11,2024-11-06,6183096,0.73,Leased,753492,199284,524807,1724211,1760553,924473,252556,Medium,$2–5M
OFC-2025-TOR-01,King West — Workplace Fit-Out,Complete,Office Fit-Out,NA,Toronto,20830,31640,26650,2024-11-01,2025-04-07,2025-12-03,7216223,0.73,Owned,886078,215900,570752,2143689,2008534,1097171,248827,Medium,$5–10M
OFC-2024-WDC-01,Capitol Crossing — Workplace Fit-Out,Complete,Office Fit-Out,NA,Washington DC,20980,31860,26770,2023-10-18,2024-03-25,2024-11-20,6186376,1.00,Leased,848653,287525,522717,1925170,1454999,851824,262011,Medium,$5–10M
